,vertex,end_time_dyn,start_time_dyn,processor_dyn,duration_dyn,start_time_stat,end_time_stat,processor_stat,duration_stat
96,bismark_deduplicate_00000201,509879585.813596,509879403.013596,11,182.80000001192093,620050885.063164,620051067.863164,11,182.79999995231628
97,bismark_deduplicate_00000213,504446097.821027,504445915.021027,11,182.79999995231628,606361775.308728,606361958.108728,11,182.80000007152557
98,bismark_deduplicate_00000225,507052721.033844,507052538.233844,11,182.80000001192093,615156294.501825,615156477.301825,10,182.80000007152557
99,bismark_deduplicate_00000237,503692055.588596,503691872.788596,11,182.80000001192093,597567256.270911,597567439.070911,6,182.80000007152557
100,bismark_deduplicate_00000249,505959278.896344,505959096.096344,11,182.80000001192093,628845404.011808,628845586.811808,31,182.79999995231628
101,bismark_deduplicate_00000261,505959096.096344,505958913.296344,11,182.80000001192093,647429104.171657,647429286.971657,35,182.80000007152557
102,bismark_deduplicate_00000273,503691872.788596,503691689.988596,11,182.79999995231628,583878146.827035,583878329.627035,7,182.80000007152557
103,bismark_deduplicate_00000285,498258384.796027,498258201.996027,11,182.80000001192093,606361775.619287,606361958.419287,9,182.79999995231628
104,bismark_deduplicate_00000297,500865008.008844,500864825.208844,11,182.80000001192093,606361775.464008,606361958.264008,10,182.80000007152557
105,bismark_deduplicate_00000309,499771383.071344,499771200.271344,11,182.80000001192093,579978218.350557,579978401.150557,7,182.80000007152557
106,bismark_deduplicate_00000321,499771565.871344,499771383.071344,11,182.79999995231628,579978218.505837,579978401.305837,6,182.80000007152557
107,bismark_deduplicate_00000333,493583670.046344,493583487.246344,11,182.80000001192093,597567439.070911,597567621.870911,6,182.79999995231628
108,bismark_deduplicate_00000345,497504342.563596,497504159.763596,11,182.80000001192093,561394517.79033,561395005.256997,19,487.4666669368744
109,bismark_deduplicate_00000357,497504159.763596,497503976.963596,11,182.80000001192093,561394517.94561,561395005.412277,20,487.4666669368744
110,bismark_deduplicate_00000369,494677294.983844,494677112.183844,11,182.80000001192093,620050885.218443,620051068.018443,10,182.79999995231628
111,bismark_deduplicate_00000381,491316629.538596,491316446.738596,11,182.79999995231628,615156295.122943,615156477.922943,6,182.79999995231628
112,bismark_deduplicate_00000393,493583852.846344,493583670.046344,11,182.80000001192093,444491002.341191,444491185.141191,11,182.80000001192093
113,bismark_deduplicate_00000405,492070671.771027,492070488.971027,11,182.80000001192093,448976373.762962,448976556.562962,8,182.80000001192093
114,bismark_deduplicate_00000417,491316446.738596,491316263.938596,11,182.80000001192093,535010960.766053,535011143.566053,9,182.79999995231628
115,bismark_deduplicate_00000429,485882958.746027,485882775.946027,11,182.80000001192093,538910889.087251,538911071.887251,9,182.80000007152557
116,bismark_deduplicate_00000441,488489581.958844,488489399.158844,11,182.80000001192093,583878146.671755,583878329.471755,10,182.80000007152557
117,bismark_deduplicate_00000453,485128916.513596,485128733.713596,11,182.80000001192093,507632741.412461,507632924.212461,8,182.80000001192093
118,bismark_deduplicate_00000465,487396139.821344,487395957.021344,11,182.80000001192093,471460002.555215,471460185.355215,8,182.80000001192093
119,bismark_deduplicate_00000477,487395957.021344,487395774.221344,11,182.80000001192093,438303289.316191,438303472.116192,11,182.80000096559525
120,bismark_deduplicate_00000489,485128733.713596,485128550.913596,11,182.80000001192093,615156294.967663,615156477.767663,7,182.79999995231628
121,bismark_deduplicate_00000501,479695245.721027,479695062.921027,11,182.80000001192093,615156294.657104,615156477.457104,9,182.79999995231628
122,bismark_deduplicate_00000513,482301868.933844,482301686.133844,11,182.79999995231628,507632741.478568,507633228.945235,18,487.46666699647903
123,bismark_deduplicate_00000525,478941203.488596,478941020.688596,11,182.80000001192093,620050885.373723,620051068.173723,9,182.79999995231628
124,bismark_deduplicate_00000537,481208426.796344,481208243.996344,11,182.80000001192093,606361775.774567,606361958.574567,8,182.79999995231628
125,bismark_deduplicate_00000549,481208243.996344,481208061.196344,11,182.79999995231628,606361775.929846,606361958.729846,7,182.79999995231628
126,bismark_deduplicate_00000561,478941020.688596,478940837.888596,11,182.80000001192093,615156294.346545,615156477.146545,11,182.80000007152557
127,bismark_deduplicate_00000573,473507532.696027,473507349.896027,11,182.79999995231628,606361776.085126,606361958.885126,6,182.79999995231628
128,bismark_deduplicate_00000585,476114155.908844,476113973.108844,11,182.80000001192093,624945475.779783,624945658.579782,11,182.79999899864197
129,bismark_deduplicate_00000597,475020530.971344,475020348.171344,11,182.80000001192093,642534513.455039,642534696.255038,33,182.79999899864197
130,bismark_deduplicate_00000609,475020713.771344,475020530.971344,11,182.80000001192093,507632741.257182,507632924.057182,9,182.80000001192093
131,bismark_deduplicate_00000621,468832817.946344,468832635.146344,11,182.80000001192093,597567256.492298,597567743.958964,18,487.4666659832001
132,bismark_deduplicate_00000633,472753490.463596,472753307.663596,11,182.80000001192093,512527331.818521,512527514.618521,11,182.79999995231628
133,bismark_deduplicate_00000645,472753307.663596,472753124.863596,11,182.79999995231628,516427260.139719,516427442.939719,10,182.80000001192093
134,bismark_deduplicate_00000657,469926442.883844,469926260.083844,11,182.80000001192093,538910888.931971,538911071.731971,11,182.80000007152557
135,bismark_deduplicate_00000669,467319819.671027,467319636.871027,11,182.80000001192093,557494589.403026,557494772.203026,11,182.80000007152557
136,bismark_deduplicate_00000681,468833000.746344,468832817.946344,11,182.79999995231628,561394517.724224,561394700.524224,10,182.80000007152557
137,bismark_deduplicate_00000693,462645104.921344,462644922.121344,11,182.80000001192093,628845587.05626,628845769.85626,11,182.79999995231628
138,bismark_deduplicate_00000705,462645104.921344,462644922.121344,9,182.80000001192093,628845404.25626,628845587.05626,11,182.79999995231628
139,bismark_deduplicate_00000717,461132106.646027,461131923.846027,11,182.80000001192093,624945476.090342,624945658.890342,9,182.79999995231628
140,bismark_deduplicate_00000729,463738729.858844,463738547.058844,11,182.80000001192093,628845405.032658,628845587.832658,6,182.80000007152557
141,bismark_deduplicate_00000741,462645287.721344,462645104.921344,11,182.80000001192093,628845586.500603,628845769.300603,30,182.80000007152557
142,bismark_deduplicate_00000753,462645287.721344,462645104.921344,9,182.80000001192093,628845404.722099,628845587.522099,8,182.80000007152557
143,bismark_deduplicate_00000765,456457391.896344,456457209.096344,11,182.80000001192093,606361775.530114,606362262.996781,20,487.4666669368744
144,bismark_deduplicate_00000777,456457391.896344,456457209.096344,9,182.80000001192093,628845404.566819,628845587.366819,9,182.80000007152557
145,bismark_deduplicate_00000789,454944393.621027,454944210.821027,11,182.80000001192093,620050885.684282,620051068.484282,6,182.80000007152557
146,bismark_deduplicate_00000801,457551016.833844,457550834.033844,11,182.80000001192093,606361775.374835,606362262.841502,19,487.4666669368744
147,bismark_deduplicate_00000813,456457574.696344,456457391.896344,11,182.80000001192093,620050885.529002,620051068.329002,7,182.80000007152557
148,bismark_deduplicate_00000825,456457574.696344,456457391.896344,9,182.80000001192093,628845404.41154,628845587.21154,10,182.79999995231628
149,bismark_deduplicate_00000837,450269861.671344,450269678.871344,11,182.80000001192093,624945476.245621,624945659.045621,8,182.80000007152557
150,bismark_deduplicate_00000849,451363303.808844,451363121.008844,11,182.79999995231628,624945476.932846,624945964.399513,19,487.4666670560837
151,bismark_deduplicate_00000861,448756680.596027,448756497.796027,11,182.80000001192093,624945477.088125,624945964.554792,20,487.4666670560837
152,bismark_deduplicate_00000873,450269861.671344,450269678.871344,9,182.80000001192093,624945476.777566,624945964.244233,18,487.4666670560837
153,bismark_deduplicate_00000885,450269678.871344,450269496.071344,11,182.79999995231628,606361776.151232,606362263.617899,21,487.4666669368744
154,bismark_deduplicate_00000897,450269678.871344,450269496.071344,9,182.79999995231628,606361775.219555,606362262.686222,18,487.4666669368744
155,bismark_deduplicate_00000909,444082148.646344,444081965.846344,11,182.80000001192093,624945476.400901,624945659.200901,7,182.80000007152557
156,bismark_deduplicate_00000921,445175590.783844,445175407.983844,11,182.80000001192093,637639922.73842,637640105.53842,34,182.79999995231628
157,bismark_deduplicate_00000933,444082148.646344,444081965.846344,9,182.80000001192093,624945476.55618,624945659.35618,6,182.79999995231628
158,bismark_deduplicate_00000945,444081965.846344,444081783.046344,11,182.80000001192093,624945659.045621,624945841.845621,8,182.79999995231628
159,bismark_deduplicate_00000957,442568967.571027,442568784.771027,11,182.79999995231628,628845404.877378,628845587.677378,7,182.80000007152557
160,bismark_deduplicate_00000969,444081965.846344,444081783.046344,9,182.80000001192093,628845586.811808,628845769.611808,31,182.79999995231628
161,bismark_deduplicate_00000981,413897625.753775,413897442.953775,11,182.80000001192093,620051068.484282,620051251.284282,6,182.79999995231628
162,bismark_deduplicate_00000993,420085338.778775,420085155.978775,10,182.79999995231628,620050885.905668,620051373.372335,18,487.4666669368744
163,bismark_methXtract_00000010,525623499.633466,525615859.708466,33,7639.925000011921,624986409.887077,625006783.02041,22,20373.133332967758
164,bismark_methXtract_00000016,524529874.695966,524522234.770966,31,7639.925000011921,624945676.000371,625006795.40037,2,61119.399999022484
165,bismark_methXtract_00000028,524530057.495966,524522417.570966,34,7639.925000011921,624945677.624357,625006797.024357,1,61119.39999997616
166,bismark_methXtract_00000040,518342164.591671,518334524.666671,10,7639.925000011921,624986411.511063,625006784.644397,23,20373.13333404064
167,bismark_methXtract_00000052,522262834.188218,522255194.263218,32,7639.925000011921,628853229.346308,628860869.271308,6,7639.924999952316
168,bismark_methXtract_00000064,522262653.416525,522255013.491525,30,7639.925000011921,624976407.433838,625006967.133838,28,30559.700000047684
169,bismark_methXtract_00000076,519435786.919671,519428146.994671,30,7639.925000011921,606361962.94547,606402709.212137,13,40746.2666670084
170,bismark_methXtract_00000088,516075121.563596,516067481.638596,11,7639.925000011921,615156481.828007,615197228.094674,12,40746.2666670084
171,bismark_methXtract_00000100,518342344.782171,518334704.857171,30,7639.925000011921,516427445.579963,516458005.279963,28,30559.69999998808
172,bismark_methXtract_00000112,516829163.395649,516821523.470649,30,7639.925000011921,507632926.542146,507663486.242146,26,30559.69999998808
173,bismark_methXtract_00000124,516074941.985033,516067302.060033,9,7639.924999952316,502738335.825528,502758708.958861,23,20373.133332967758
