vertex,start_time_dyn,duration_dyn,processor_dyn,start_time_stat,duration_stat,processor_stat
bismark_align_00000771,450269495.670966,6187713.024999976,35,430703371.210725,7599917.705088973,32
bismark_align_00000759,450269495.670966,6187713.024999976,31,415503540.740897,7599914.4115229845,31
bismark_deduplicate_00000897,450269496.071344,182.79999995231628,9,606361775.219555,487.4666669368744,18
bismark_deduplicate_00000885,450269496.071344,182.79999995231628,11,606361776.151232,487.4666669368744,21
preseq_00000899,450269496.226623,182.80000001192093,8,642543799.537596,1462.3999999761581,5
preseq_00000887,450269496.226623,182.80000001192093,10,637652136.469631,1462.4000000953674,2
bismark_align_00000807,450269678.470966,6187713.025000036,32,415503540.740897,7599914.4115229845,33
bismark_deduplicate_00000837,450269678.871344,182.80000001192093,11,624945476.245621,182.80000007152557,8
bismark_deduplicate_00000873,450269678.871344,182.80000001192093,9,624945476.777566,487.4666670560837,18
preseq_00000839,450269679.026623,182.80000001192093,10,647438433.430218,731.2000000476837,28
preseq_00000875,450269679.026623,182.80000001192093,8,647436971.249514,974.9333330392838,12
qualimap_00000877,450269681.020056,2488.824999988079,6,625006795.40037,19910.600000977516,2
bismark_methXtract_00000880,450269682.092781,7639.925000011921,7,606362266.063438,40746.26666688919,15
bismark_methXtract_00000892,450269861.671344,7639.925000011921,11,606362265.131761,40746.2666670084,14
qualimap_00000889,450269861.671344,2488.824999988079,9,624986408.525043,13273.7333329916,14
qualimap_00000829,450269863.820056,2488.824999988079,8,624976526.283099,9955.299999952316,24
bismark_methXtract_00000832,450269864.892781,7639.924999952316,10,624945847.733838,30559.700000047684,28
bismark_methXtract_00000868,450272169.845056,7639.925000011921,6,624966337.532846,20373.133332967758,19
qualimap_00000865,450272350.496344,2488.8250000476837,9,625026694.787745,19910.600000023842,0
bismark_summary_00000878,450277322.262879,182.80000001192093,9,628869199.460553,974.9333339929581,12
bismark_report_00000882,450277325.778891,877.7249999642372,7,628865502.375213,2340.600000023842,21
bismark_summary_00000890,450277501.841442,182.80000001192093,8,637650674.22491,1462.3999999761581,1
bismark_summary_00000830,450277505.307977,182.79999995231628,9,647438921.582019,974.9333330392838,15
bismark_report_00000894,450277505.357455,877.7249999642372,11,628865498.241598,2340.600000023842,19
bismark_report_00000834,450277508.578891,877.7250000238419,10,647436940.18903,877.7249999046326,8
multiqc_00000881,450278203.616676,182.80000001192093,8,651337587.74991,182.79999995231628,9
multiqc_00000893,450278383.195241,182.80000001192093,9,651337404.394898,182.79999995231628,30
multiqc_00000833,450278386.416677,182.80000001192093,11,651330116.078092,731.2000000476837,24
bismark_summary_00000866,450279810.015154,182.80000001192093,11,647436971.030218,731.2000000476837,28
bismark_report_00000870,450279813.531167,877.7250000238419,6,647436952.103108,877.7249999046326,6
multiqc_00000869,450280691.368952,182.80000001192093,7,651337039.887505,487.4666669368744,22
