,size,wf_name,inp_size,relation,ratio,algorithm
164,2000,methylseq_2000.dot,8885797810,internal,0.7727744937252521,MeDiH-BL
165,100,chipseq,41366257414,internal,1.0052891773099355,MeDiH-BL
166,15000,methylseq_15000.dot,8885797810,internal,0.23759477122545933,MeDiH-BL
167,30000,methylseq_30000.dot,17027257018,internal,0.212623387434641,MeDiH-BL
168,2000,eager_2000.dot,19075314980,internal,0.8703835591626377,MeDiH-BL
169,2000,eager_2000.dot,19132169434,internal,0.9898926010211345,MeDiH-BL
170,20000,chipseq_20000.dot,4605965334,internal,1.0697384605619844,MeDiH-BL
171,200,atacseq_200.dot,11187378708,internal,3.3844866605728594,MeDiH-BL
172,15000,chipseq_15000.dot,3793245764,internal,1.006539242050455,MeDiH-BL
173,8000,atacseq_8000.dot,14091675276,internal,0.9144874644395891,MeDiH-BL
174,10000,eager_10000.dot,19132169434,internal,0.7658797149844008,MeDiH-BL
175,8000,methylseq_8000.dot,11897958606,internal,0.24705242878795375,MeDiH-BL
176,15000,eager_15000.dot,25705994498,internal,0.5566763578092144,MeDiH-BL
177,1000,eager_1000.dot,19075314980,internal,1.3704878143982129,MeDiH-BL
178,30000,eager_30000.dot,25705994498,internal,0.5940470640702606,MeDiH-BL
179,10000,eager_10000.dot,25705994498,internal,0.9247941152511763,MeDiH-BL
180,20000,chipseq_20000.dot,3793245764,internal,1.0127705646689298,MeDiH-BL
181,100,chipseq,5058052541,internal,1.052452073889962,MeDiH-BL
182,30000,chipseq_30000.dot,41366257414,internal,0.411873128473423,MeDiH-BL
183,8000,eager_8000.dot,14754556884,internal,0.856464157105142,MeDiH-BL
184,30000,chipseq_30000.dot,32978181418,internal,0.5174673890459506,MeDiH-BL
185,25000,methylseq_25000.dot,110641579976,internal,0.19129500654581438,MeDiH-BL
186,10000,eager_10000.dot,14754556884,internal,0.7826939086304742,MeDiH-BL
187,30000,eager_30000.dot,14754556884,internal,0.5364304390590088,MeDiH-BL
188,8000,methylseq_8000.dot,6761426956,internal,0.3015561773302081,MeDiH-BL
189,10000,atacseq_10000.dot,11809629756,internal,1.0186334483327528,MeDiH-BL
190,20000,eager_20000.dot,19132169434,internal,0.8109351161729447,MeDiH-BL
191,200,eager_200.dot,19075314980,internal,2.3055304821098144,MeDiH-BL
192,20000,eager_20000.dot,14754556884,internal,0.6004033145169789,MeDiH-BL
193,100,chipseq,4807293396,internal,1.049049217284427,MeDiH-BL
194,15000,eager_15000.dot,8330435694,internal,1.1275132503099226,MeDiH-BL
195,10000,methylseq_10000.dot,6761426956,internal,0.2824226548144406,MeDiH-BL
196,1000,methylseq_1000.dot,22500260922,internal,0.4426971503802388,MeDiH-BL
197,8000,methylseq_8000.dot,22500260922,internal,0.216303836120703,MeDiH-BL
198,25000,methylseq_25000.dot,8885797810,internal,0.22687104512834733,MeDiH-BL
199,1000,atacseq_1000.dot,2223941232,internal,1.4464524162569519,MeDiH-BL
200,4000,atacseq_4000.dot,3908761308,internal,1.2980167437649457,MeDiH-BL
201,10000,chipseq_10000.dot,3793245764,internal,1.003904302534232,MeDiH-BL
202,1000,eager_1000.dot,19132169434,internal,1.5785542563749893,MeDiH-BL
203,20000,methylseq_20000.dot,17027257018,internal,0.20696431183267824,MeDiH-BL
204,8000,eager_8000.dot,25705994498,internal,0.8422935002970501,MeDiH-BL
205,2000,methylseq_2000.dot,17027257018,internal,0.2874520784892475,MeDiH-BL
206,4000,methylseq_4000.dot,6761426956,internal,0.6027841279494617,MeDiH-BL
207,8000,chipseq_8000.dot,4807293396,internal,0.8614774214051281,MeDiH-BL
208,20000,methylseq_20000.dot,6273818718,internal,0.25144722272923414,MeDiH-BL
209,4000,eager_4000.dot,19100037384,internal,1.1099903378116533,MeDiH-BL
210,20000,methylseq_20000.dot,22500260922,internal,0.20405398429934848,MeDiH-BL
211,2000,eager_2000.dot,14754556884,internal,1.813897894887722,MeDiH-BL
