vertex startOrFinish time proc
MERGED_LIB_BIGWIG_00000026 start 25550848.1916491 30
MERGED_LIB_ATAQV_00000177 start 25572616.1043666 35
MERGED_LIB_ATAQV_00000138 start 25629618.7862489 33
MERGED_LIB_ATAQV_00000099 start 25629843.5324937 31
MERGED_LIB_ATAQV_00000177 finish 25737562.8293666 35
MERGED_LIB_MACS2_ANNOTATE_00000188 start 25737562.8293666 35
MERGED_LIB_BIGWIG_00000026 finish 25751347.1541491 30
MERGED_REP_BAM_00000016 start 25751347.1541491 30
MERGED_LIB_ATAQV_00000138 finish 25794565.5112489 33
MERGED_LIB_MACS2_ANNOTATE_00000149 start 25794565.5112489 33
MERGED_LIB_ATAQV_00000099 finish 25794790.2574937 31
MERGED_LIB_MACS2_ANNOTATE_00000110 start 25794790.2574937 31
MERGED_LIB_MACS2_ANNOTATE_00000188 finish 25801532.7918666 35
MERGED_REP_BAM_00000016 finish 25809369.5166491 30
MERGED_LIB_PICARD_METRICS_00000012 start 25809369.5166491 30
MERGED_LIB_MACS2_ANNOTATE_00000149 finish 25858535.4737489 33
MERGED_LIB_ATAQV_MKARV_00000124 start 25858535.4737489 33
MERGED_LIB_MACS2_ANNOTATE_00000110 finish 25858760.2199937 31
MERGED_LIB_ATAQV_MKARV_00000085 start 25858760.2199937 31
MERGED_LIB_ATAQV_MKARV_00000124 finish 25916557.8362489 33
MERGED_LIB_ATAQV_MKARV_00000085 finish 25916782.5824937 31
MERGED_LIB_MACS2_QC_00000112 start 25916782.5824937 31
MERGED_LIB_MACS2_QC_00000112 finish 25974804.9449937 31
MERGED_LIB_PICARD_METRICS_00000012 finish 26011957.6166491 30
MERGED_LIB_PLOTFINGERPRINT_00000013 start 26011957.6166491 30
MERGED_LIB_PLOTFINGERPRINT_00000013 finish 26069979.9791491 30
MERGED_LIB_PLOTPROFILE_00000007 start 26070050.5921871 30
MERGED_LIB_PLOTPROFILE_00000007 finish 26356674.292187 30
MERGED_REP_MACS2_00000020 start 26356674.292187 30
MERGED_REP_MACS2_00000020 finish 26414696.6546871 30
MULTIQC_00000104 start 26471301.215165 31
MULTIQC_00000104 finish 26529323.577665 31
MERGED_REP_BIGWIG_00000031 start 26676608.6821612 30
MERGED_LIB_ATAQV_00000060 start 26676675.6189403 34
MERGED_REP_BIGWIG_00000031 finish 26734631.0446612 30
MERGED_REP_CONSENSUS_00000033 start 26734631.0446612 30
MERGED_REP_CONSENSUS_00000033 finish 26792653.4071612 30
MERGED_REP_MACS2_ANNOTATE_00000037 start 26792653.4071612 30
MERGED_LIB_ATAQV_00000060 finish 26841622.3439403 34
MERGED_LIB_MACS2_ANNOTATE_00000071 start 26841622.3439403 34
MERGED_LIB_MACS2_ANNOTATE_00000071 finish 26905592.3064403 34
MERGED_LIB_CONSENSUS_COUNTS_00000167 start 27429370.2764971 34
MERGED_LIB_CONSENSUS_COUNTS_00000167 finish 27487392.6389971 34
MERGED_LIB_CONSENSUS_ANNOTATE_00000169 start 27487392.6389971 34
MERGED_LIB_CONSENSUS_ANNOTATE_00000169 finish 27545415.0014971 34
MERGED_REP_MACS2_ANNOTATE_00000037 finish 26850675.7696612 30
MERGED_REP_CONSENSUS_COUNTS_00000017 start 26850675.7696612 30
MERGED_REP_CONSENSUS_COUNTS_00000017 finish 26908698.1321612 30
MERGED_REP_CONSENSUS_ANNOTATE_00000038 start 26908698.1321612 30
MERGED_REP_CONSENSUS_ANNOTATE_00000038 finish 26966720.4946612 30
MERGED_REP_MACS2_QC_00000021 start 26966720.4946612 30
MERGED_REP_MACS2_QC_00000021 finish 27024742.8571612 30
MERGED_REP_CONSENSUS_DESEQ2_00000022 start 27024742.8571612 30
MERGED_REP_CONSENSUS_DESEQ2_00000022 finish 27082765.2196612 30
MERGED_LIB_ATAQV_MKARV_00000163 start 28813995.151858 34
MERGED_LIB_ATAQV_MKARV_00000163 finish 28872017.514358 34
MERGED_LIB_ATAQV_MKARV_00000046 start 28872017.514358 34
MERGED_LIB_ATAQV_MKARV_00000046 finish 28930039.876858 34
MERGED_LIB_MACS2_QC_00000073 start 28930039.876858 34
MERGED_LIB_MACS2_QC_00000073 finish 28988062.239358 34
MERGED_LIB_CONSENSUS_DESEQ2_00000157 start 28988062.239358 34
MERGED_LIB_CONSENSUS_DESEQ2_00000157 finish 29046084.601858 34
MERGED_LIB_MACS2_QC_00000190 start 29315753.321376 33
MERGED_LIB_MACS2_QC_00000190 finish 29373775.683876 33
MERGED_LIB_MACS2_QC_00000151 start 29373775.683876 33
MERGED_LIB_MACS2_QC_00000151 finish 29431798.046376 33
MULTIQC_00000065 start 29542580.8720293 34
MULTIQC_00000065 finish 29600603.2345293 34
IGV_00000160 start 30124360.4654925 34
IGV_00000160 finish 30182382.8279925 34
MULTIQC_00000143 start 35225022.733666 31
MULTIQC_00000143 finish 35283045.096166 31
MULTIQC_00000182 start 35310163.3913908 33
MULTIQC_00000182 finish 35368185.7538908 33
MERGED_LIB_MACS2_00000014 start 38878787.8565021 35
MERGED_LIB_MACS2_00000014 finish 39263748.0440021 35
MERGED_LIB_CONSENSUS_00000032 start 40309227.7472592 34
MERGED_LIB_CONSENSUS_00000032 finish 40367250.1097592 34
MERGED_LIB_CONSENSUS_ANNOTATE_00000036 start 40367250.1097592 34
MERGED_LIB_CONSENSUS_COUNTS_00000015 start 40367342.7258237 30
MERGED_LIB_CONSENSUS_ANNOTATE_00000036 finish 40425272.4722592 34
MERGED_LIB_CONSENSUS_COUNTS_00000015 finish 40425365.0883237 30
MERGED_LIB_CONSENSUS_DESEQ2_00000019 start 40425365.0883237 30
MERGED_LIB_CONSENSUS_DESEQ2_00000019 finish 40483387.4508237 30
MERGED_LIB_ATAQV_00000027 start 42431775.9576613 35
MERGED_LIB_ATAQV_00000027 finish 42596722.6826613 35
MERGED_LIB_MACS2_ANNOTATE_00000035 start 42596722.6826613 35
MERGED_LIB_MACS2_ANNOTATE_00000035 finish 42660692.6451613 35
IGV_00000034 start 42909902.7072053 35
IGV_00000034 finish 42967925.0697053 35
MERGED_LIB_ATAQV_MKARV_00000029 start 42967925.0697053 35
MERGED_LIB_ATAQV_MKARV_00000029 finish 43025947.4322053 35
MERGED_LIB_MACS2_QC_00000018 start 43025947.4322053 35
MERGED_LIB_MACS2_QC_00000018 finish 43083969.7947053 35
MULTIQC_00000006 start 43455199.364841 30
MULTIQC_00000006 finish 43513221.727341 30
