wf_name,size_x,relation,ratio_old,ratio_new
chipseq_25000.dot,25000,internal,1.0999280417758819,0.507905033815791
eager_10000.dot,10000,internal,1.3004735600206114,0.9428217020211828
methylseq_30000.dot,30000,internal,0.7903128812820331,0.2206053331364994
eager_30000.dot,30000,internal,0.8033072028114063,0.6108178410525554
methylseq_25000.dot,25000,internal,1.1809060321354645,0.22539948417812805
eager_15000.dot,15000,internal,1.4719848899836414,0.779841042772336
methylseq_30000.dot,30000,internal,0.6882729761104915,0.20292436461734
atacseq_2000.dot,2000,internal,1.53299913146894,1.6552555895331595
methylseq_10000.dot,10000,internal,0.848037803419061,0.2414996926291433
chipseq_25000.dot,25000,internal,1.0599828886022384,1.0042959761889205
methylseq_30000.dot,30000,internal,0.8080555754408273,0.2410069286105492
eager_30000.dot,30000,internal,0.6542008380917494,0.856722117654488
chipseq_200.dot,200,internal,1.3347284844488418,1.7513422084331904
methylseq_15000.dot,15000,internal,0.849785555655954,0.2613901940848821
methylseq_2000.dot,2000,internal,1.0282599103924066,0.6592463339577951
atacseq_200.dot,200,internal,2.587038089998771,2.544411966366569
eager_8000.dot,8000,internal,0.6488587155795327,1.1026928413968327
chipseq_2000.dot,2000,internal,1.23131301215988,1.1795686739357398
eager_20000.dot,20000,internal,1.2199445407004534,0.679090991292755
eager_10000.dot,10000,internal,1.1024165361705052,1.0209384028479311
methylseq_25000.dot,25000,internal,2.0863670520176782,0.2460528850682323
eager_10000.dot,10000,internal,1.0578032632137517,1.0855046792134186
methylseq_2000.dot,2000,internal,0.9961217741139161,0.7701000104442969
atacseq_1000.dot,1000,internal,1.3397531820463053,1.6856331979091443
chipseq_10000.dot,10000,internal,1.3319913980665283,0.5216883594938873
methylseq_2000.dot,2000,internal,0.8137620643418727,0.21010472988611828
chipseq_8000.dot,8000,internal,0.9617090382885999,0.9970521723759453
eager_25000.dot,25000,internal,1.2997594813687068,0.6770705277429768
eager_4000.dot,4000,internal,1.0286322945843023,1.043880747714733
chipseq_1000.dot,1000,internal,1.0232185635897746,1.2761689314088034
eager_15000.dot,15000,internal,1.032973231474013,0.7377459939102046
eager_1000.dot,1000,internal,0.6964282064957937,1.4905056211460275
chipseq_4000.dot,4000,internal,1.011031892181988,1.1747180352000215
atacseq_1000.dot,1000,internal,1.2673778651465317,1.3822033826835862
chipseq_1000.dot,1000,internal,0.9807082383399995,1.1287124270716333
atacseq_2000.dot,2000,internal,1.508311591600982,1.472924648781019
eager_4000.dot,4000,internal,1.5931656852481046,1.8890737316318962
eager_4000.dot,4000,internal,0.6355956435518471,1.2744149262868751
eager_200.dot,200,internal,1.7559445407598533,2.328536876283453
methylseq_20000.dot,20000,internal,0.8258596422789423,0.2291235692439309
atacseq_25000.dot,25000,internal,1.5306251635633863,1.1695149372519735
eager_20000.dot,20000,internal,1.099655632708707,0.5574722064968131
eager_25000.dot,25000,internal,0.9992933074232455,0.6673650115741528
chipseq_15000.dot,15000,internal,0.7681594211493254,1.0675634355271744
chipseq_1000.dot,1000,internal,1.1819568819609911,1.1805614943466916
atacseq_15000.dot,15000,internal,1.0531961856677792,0.9182598996947544
methylseq_2000.dot,2000,internal,1.0373341039035415,0.7727744937252521
methylseq_15000.dot,15000,internal,0.8399743998720913,0.23759477122545933
methylseq_30000.dot,30000,internal,0.7305664098714734,0.212623387434641
eager_2000.dot,2000,internal,0.8767536441447952,0.8703835591626377
eager_2000.dot,2000,internal,0.8531182510525697,0.9898926010211345
chipseq_20000.dot,20000,internal,1.3814351509719316,1.0697384605619844
atacseq_200.dot,200,internal,5.068654102421805,3.3844866605728594
chipseq_15000.dot,15000,internal,1.2361846756400658,1.006539242050455
atacseq_8000.dot,8000,internal,0.9752763955865396,0.9144874644395891
