vertex start_time finish_time proc_num
bismark_align_00000471 41296926.1722057 41308553.9806432 30
bismark_align_00000195 43787914.1455376 43799541.9539751 6
bismark_align_00000483 44225402.0016181 44287702.0645362 12
bismark_align_00001935 44225402.0016181 44287702.0645362 17
bismark_align_00000495 45337453.8816946 45349081.6901321 10
bismark_align_00000183 45793092.6577696 45804720.4662071 33
bismark_align_00000507 43329632.0502018 43341259.8586393 35
bismark_align_00001839 45821672.9568541 45883687.9351874 14
bismark_align_00000519 45879827.6021776 45891455.4106151 30
bismark_align_00000171 43341259.8586393 43352887.6670768 35
bismark_align_00000531 45891455.4106151 45903083.2190526 30
bismark_align_00000459 43329632.0502018 43341259.8586393 32
bismark_align_00000159 44287702.0645362 44349717.0428695 17
bismark_align_00001827 46244334.0795839 46306349.0579173 15
bismark_align_00000555 45903083.2190526 45914711.0274901 30
bismark_align_00001947 46775001.7335842 46786629.5420217 34
bismark_align_00000567 46895564.3190701 46957579.2974035 13
bismark_align_00000147 42410222.9121372 42421850.7205747 31
bismark_align_00000579 46993124.3421091 47004752.1505466 31
bismark_align_00000135 43352887.6670768 43364515.4755143 35
bismark_align_00001815 47880822.1144073 47892449.9228448 35
bismark_align_00000591 47880822.1144073 47892449.9228448 32
bismark_align_00000603 48655332.4851729 48666960.2936104 11
bismark_align_00000123 48781889.9659201 48793517.7743576 8
bismark_align_00000255 44287702.0645362 44349717.0428695 12
bismark_align_00000303 47892449.9228448 47904077.7312823 35
bismark_align_00001899 48873455.0936978 48885082.9021353 7
bismark_align_00000315 48825248.7806504 48887263.7589837 16
bismark_align_00000291 47904077.7312823 47915705.5397198 35
bismark_align_00000327 45804720.4662071 45816348.2746446 33
bismark_align_00000339 47004752.1505466 47016379.9589841 31
bismark_align_00000279 50093134.5822473 50104762.3906848 9
bismark_align_00001887 45914711.0274901 45926338.8359276 30
bismark_align_00000351 47915705.5397198 47927333.3481573 35
bismark_align_00001911 50387621.896179 50399249.7046165 33
bismark_align_00000363 47892449.9228448 47904077.7312823 32
bismark_align_00000267 47904077.7312823 47915705.5397198 32
bismark_align_00000375 50474356.840587 50485984.6490245 30
bismark_align_00000807 50706248.2294037 50768263.2077371 12
bismark_align_00000387 50706248.2294037 50768263.2077371 17
bismark_align_00001875 51010033.6346713 51021661.4431088 6
bismark_align_00000399 47016379.9589841 47028007.7674216 31
bismark_align_00000243 46957579.2974035 47019594.2757368 13
bismark_align_00000411 47927333.3481573 47938961.1565948 35
bismark_align_00000231 51369530.9719936 51381158.7804311 34
bismark_align_00000423 47915705.5397198 47927333.3481573 32
bismark_align_00001923 51587653.5805185 51599281.388956 31
bismark_align_00001863 52302519.1846398 52364534.1629731 14
bismark_align_00000435 50485984.6490245 50497612.457462 30
bismark_align_00000447 51381158.7804311 51392786.5888686 34
bismark_align_00000219 47927333.3481573 47938961.1565948 32
bismark_align_00000747 52475351.3528166 52486979.1612541 35
bismark_align_00001791 52475351.3528166 52486979.1612541 32
bismark_align_00000675 52559573.3708283 52571201.1792658 10
bismark_align_00000075 51599281.388956 51610909.1973935 31
bismark_align_00000687 50399249.7046165 50410877.513054 33
bismark_align_00001971 52725180.3073696 52787195.2857029 15
bismark_align_00000699 51610909.1973935 51622537.005831 31
bismark_align_00001779 53376410.5468558 53438425.5251891 13
bismark_align_00000063 50410877.513054 50422505.3214915 33
bismark_align_00000711 54982151.1345884 54993778.9430259 33
bismark_align_00000723 55068886.0789963 55080513.8874338 30
bismark_align_00000051 52486979.1612541 52498606.9696916 32
bismark_align_00000735 55080513.8874338 55092141.6958713 30
bismark_align_00000615 55306095.008436 55368109.9867694 16
bismark_align_00000039 52498606.9696916 52510234.7781291 32
bismark_align_00001767 55877451.9743066 55889079.7827441 11
bismark_align_00000759 55964060.210403 55975688.0188405 34
bismark_align_00001983 56004009.4550537 56015637.2634912 8
bismark_align_00000771 54993778.9430259 55005406.7514634 33
bismark_align_00000027 51622537.005831 51634164.8142685 31
bismark_align_00000783 55975688.0188405 55987315.827278 34
bismark_align_00000015 56095574.5828315 56107202.391269 7
bismark_align_00001755 56182182.8189279 56193810.6273654 31
bismark_align_00000795 52787195.2857029 52849210.2640363 15
bismark_align_00000004 55987315.827278 55998943.6357155 34
bismark_align_00000639 57069880.591226 57081508.3996635 35
bismark_align_00001803 57069880.591226 57081508.3996635 32
bismark_align_00001959 57187094.4571894 57249109.4355227 12
bismark_align_00000087 55368109.9867694 55430124.9651027 16
bismark_align_00000663 57187094.4571894 57249109.4355227 17
bismark_align_00000627 57315254.071381 57326881.8798185 9
bismark_align_00000099 58232153.1238049 58243780.9322424 6
bismark_align_00000111 52364534.1629731 52426549.1413064 14
bismark_align_00000651 58783365.4124254 58845380.3907587 14
fastqc_00000260 0 5175.48388888889 18
fastqc_00001412 0 5175.48388888889 19
fastqc_00001304 0 5175.48388888889 20
fastqc_00001508 0 5175.48388888889 21
fastqc_00000020 0 5175.48388888889 22
fastqc_00000140 0 5175.48388888889 23
fastqc_00000032 0 7763.22583333333 29
fastqc_00000248 0 7763.22583333333 24
fastqc_00001316 0 7763.22583333333 25
fastqc_00001436 0 7763.22583333333 26
fastqc_00001292 0 7763.22583333333 27
fastqc_00000236 0 7763.22583333333 28
fastqc_00000272 5175.48388888889 10350.9677777778 18
fastqc_00001520 5175.48388888889 10350.9677777778 19
