algo_nr wf_name inp_size chainProb hubScore bypBra maxIndSetR cpRat wSkew memToComp memToIo auto-num auto-name 
1 dag_200_wide_4.dot 1 0.895522 2.35354 1 0.995025 6.04837e+06 1.77284 29.2404 0.0714986 6 Online_MeDiH-BL
1 methylseq_8000.dot 6273818718 0.6665 175.62 1 0.583563 3970.48 2.99883 34.2182 0.189592 6 Online_MeDiH-BL
1 eager_15000.dot 19100037384 0.576194 19.8266 1 0.424073 12093.5 2.26202 103.186 0.336536 6 Online_MeDiH-BL
1 chipseq_30000.dot 4807293396 0.559963 171.128 1 0.60006 1532.11 1.32264 546.03 1.26058 6 Online_MeDiH-BL
1 dag_2000_long_2.dot 1 0.999 0.0009995 0 0.9995 1.3977e+08 0.870375 31.7169 0.0836715 6 Online_MeDiH-BL
1 methylseq_30000.dot 6761426956 0.666622 658.386 1 0.583394 1152.47 2.99831 31.5421 0.176361 6 Online_MeDiH-BL
1 dag_10000_long_4.dot 1 0.9993 0.000698981 0 0.9999 1.42249e+08 0.728987 31.264 0.0813536 6 Online_MeDiH-BL
1 chipseq_1000.dot 32978181418 0.558854 5.94729 1 0.601842 288740 1.49209 106.415 0.249573 6 Online_MeDiH-BL
1 chipseq_30000.dot 4605965334 0.559963 171.128 1 0.60006 1852.26 1.34357 382.947 1.2297 6 Online_MeDiH-BL
1 methylseq_10000.dot 6273818718 0.666533 219.604 1 0.583517 3174.64 2.9988 34.2186 0.18959 6 Online_MeDiH-BL
1 methylseq_25000.dot 6761426956 0.666613 548.822 1 0.583407 1382.61 2.99821 31.5426 0.176358 6 Online_MeDiH-BL
1 chipseq_10000.dot 4605965334 0.559888 57.2085 1 0.60018 5565.32 1.34334 382.853 1.22919 6 Online_MeDiH-BL
1 dag_4000_general_2.dot 1 0.444639 0.614337 0 0.99975 928854 1.17282 31.3274 0.0362507 3 Online_MeDiH-MM
1 methylseq 22500260922 0.571429 0.670782 1 0.714286 6.61766e+06 2.99774 12.5248 0.0560713 6 Online_MeDiH-BL
1 dag_20000_wide_1.dot 1 0.900005 2.48487 1 0.99995 121267 1.5786 31.7774 0.0780347 6 Online_MeDiH-BL
1 methylseq 110641579976 0.571429 0.670782 1 0.714286 3.44782e+07 3 2.09187 0.0100157 6 Online_MeDiH-BL
1 dag_8000_long_0.dot 1 0.9995 0.000499625 0 0.999875 1.41115e+08 0.46059 31.7481 0.0839127 6 Online_MeDiH-BL
1 eager_25000.dot 8330435694 0.576225 32.2107 1 0.423935 3962.91 2.02704 154.249 0.54776 6 Online_MeDiH-BL
1 dag_25000_wide_4.dot 1 0.900004 2.47301 1 0.99996 109450 1.5094 31.4607 0.0781271 6 Online_MeDiH-BL
1 chipseq_20000.dot 41366257414 0.559944 114.168 1 0.60009 19681.1 1.6196 65.0389 0.190645 6 Online_MeDiH-BL
1 chipseq_20000.dot 5058052541 0.559944 114.168 1 0.60009 2751.02 1.33271 452.084 1.22699 6 Online_MeDiH-BL
1 dag_15000_general_4.dot 1 0.452503 0.60672 0 0.999933 256646 1.07503 31.3228 0.0363066 6 Online_MeDiH-BL
1 chipseq_8000.dot 32978181418 0.55986 45.8167 1 0.600226 35364.1 1.49213 106.412 0.249577 6 Online_MeDiH-BL
1 atacseq_25000.dot 11187378708 0.564057 134.049 1 0.538699 3531.42 2.11138 335.642 0.813782 6 Online_MeDiH-BL
1 atacseq_25000.dot 3908761308 0.564057 134.049 1 0.538699 2247.2 1.38056 445.666 1.59206 6 Online_MeDiH-BL
1 dag_1000_long_3.dot 1 0.996004 0.00397611 0 0.999001 1.42776e+08 1.65271 31.0333 0.0823779 6 Online_MeDiH-BL
1 dag_4000_wide_3.dot 1 0.899775 2.48988 1 0.99975 506892 1.75245 31.0728 0.0752299 6 Online_MeDiH-BL
1 chipseq_4000.dot 5058052541 0.559718 23.0331 1 0.600453 13818.7 1.33273 452.015 1.22704 6 Online_MeDiH-BL
1 dag_2000_long_0.dot 1 0.998001 0.00199401 0 0.9995 1.42453e+08 1.09117 30.9397 0.0808018 6 Online_MeDiH-BL
1 eager 8330435694 0.557377 1.36168 1 0.721311 1.62148e+06 2.02705 154.234 0.547646 6 Online_MeDiH-BL
1 dag_8000_general_2.dot 1 0.452818 0.593768 0 0.999875 477965 1.12278 31.548 0.037137 6 Online_MeDiH-BL
1 eager_15000.dot 14754556884 0.576194 19.8266 1 0.424073 12112 2.13428 101.798 0.396488 6 Online_MeDiH-BL
1 dag_4000_wide_0.dot 1 0.899775 2.47753 1 0.99975 577663 1.741 31.9188 0.0786911 6 Online_MeDiH-BL
1 chipseq_15000.dot 4807293396 0.559925 85.6883 1 0.60012 3066.57 1.32263 546.12 1.26076 6 Online_MeDiH-BL
1 eager_4000.dot 25705994498 0.57598 6.12427 1 0.425032 59819.4 2.19475 83.8532 0.254614 6 Online_MeDiH-BL
1 dag_20000_long_3.dot 1 0.99985 0.000149975 0 0.99995 1.41337e+08 0.645324 31.6122 0.0827134 6 Online_MeDiH-BL
1 eager_8000.dot 19100037384 0.576127 11.1067 1 0.424376 22751.1 2.2619 103.195 0.336519 6 Online_MeDiH-BL
1 methylseq_4000.dot 110641579976 0.666333 87.9169 1 0.583792 120734 3.00001 2.0919 0.0100158 6 Online_MeDiH-BL
1 chipseq 3793245764 0.518519 0.643645 1 0.740741 2.06786e+06 1.27762 342.422 1.3555 6 Online_MeDiH-BL
1 atacseq_200.dot 14091675276 0.558376 1.47275 1 0.568528 790124 1.60053 215.421 0.579959 6 Online_MeDiH-BL
1 dag_10000_general_3.dot 1 0.449855 0.606677 0 0.9999 426264 1.09941 31.3667 0.036633 3 Online_MeDiH-MM
1 chipseq_25000.dot 32978181418 0.559955 142.648 1 0.600072 11294.4 1.4922 106.41 0.249596 6 Online_MeDiH-BL
1 eager_10000.dot 19100037384 0.576156 13.5981 1 0.424245 18174.9 2.26194 103.187 0.336511 6 Online_MeDiH-BL
1 dag_15000_long_1.dot 1 0.999733 0.00026656 0 0.999933 1.43005e+08 0.68077 31.0184 0.0815463 6 Online_MeDiH-BL
1 methylseq_30000.dot 11897958606 0.666622 658.386 1 0.583394 1963.9 2.99831 19.0435 0.102723 6 Online_MeDiH-BL
1 dag_1000_long_2.dot 1 0.996004 0.00397611 0 0.999001 1.41069e+08 1.18951 30.9743 0.080698 6 Online_MeDiH-BL
1 atacseq_25000.dot 11809629756 0.564057 134.049 1 0.538699 3192.32 2.13617 375.664 0.782694 6 Online_MeDiH-BL
1 eager_30000.dot 19075314980 0.576233 38.4394 1 0.423901 6040.43 2.26175 106.678 0.34716 6 Online_MeDiH-BL
1 methylseq_25000.dot 11897958606 0.666613 548.822 1 0.583407 2356.08 2.99835 19.0461 0.102726 6 Online_MeDiH-BL
1 eager_15000.dot 19132169434 0.576194 19.8266 1 0.424073 12049.1 2.26223 103.944 0.337269 6 Online_MeDiH-BL
1 methylseq_30000.dot 22500260922 0.666622 658.386 1 0.583394 3089.27 2.99785 12.523 0.0560693 6 Online_MeDiH-BL
1 atacseq_2000.dot 11187378708 0.563536 11.0648 1 0.541436 44274.9 2.11155 335.652 0.813927 6 Online_MeDiH-BL
1 dag_20000_general_2.dot 1 0.449228 0.600498 0 0.99995 210232 1.1993 31.7496 0.0370056 3 Online_MeDiH-MM
1 methylseq_10000.dot 11897958606 0.666533 219.604 1 0.583517 5890.91 2.99848 19.0488 0.102751 6 Online_MeDiH-BL
